AA240037;1994;Dezember
AF940076;1998;M�rz
AV270052;1996;M�rz
BS390028;1994;M�rz
CA480008;1992;Juli
CI550057;1996;August
CU420066;1997;Mai
DB280020;1993;Juli
DU430042;1995;Mai
DZ490040;1995;M�rz
EA950068;1997;Juli
EN220053;1996;April
ET730079;1998;Juni
EX470038;1995;Januar
FN310012;1992;November
FY100035;1994;Oktober
GE340091;1999;Juni
GX300032;1994;Juli
HE130051;1996;Februar
HF430030;1994;Mai
HI600023;1993;Oktober
IA230050;1996;Januar
IC590084;1998;November
IM420071;1997;Oktober
IM570085;1998;Dezember
IN730026;1994;Januar
IR870027;1994;Februar
JL420036;1994;November
JL460072;1997;November
JN660087;1999;Februar
JR850089;1999;April
KR810081;1998;August
KY640077;1998;April
LD070021;1993;August
LP600078;1998;Mai
LS020043;1995;Juni
LW230004;1992;M�rz
MN630034;1994;September
NL140002;1992;Januar
NM680063;1997;Februar
NQ630013;1992;Dezember
NR760082;1998;September
NY640019;1993;Juni
OB500005;1992;April
OI740009;1992;August
PQ300067;1997;Juni
PR870029;1994;April
PT360045;1995;August
QW460065;1997;April
QX520017;1993;April
RD880044;1995;Juli
RJ520055;1996;Juni
RZ940046;1995;September
SR360022;1993;September
SS470003;1992;Februar
SZ490073;1997;Dezember
TJ860088;1999;M�rz
TO150090;1999;Mai
UA030031;1994;Juni
UB370010;1992;September
UH670015;1993;Februar
UZ280011;1992;Oktober
VC690049;1995;Dezember
VG350059;1996;Oktober
VN830025;1993;Dezember
VQ810054;1996;Mai
VR080041;1995;April
WD560070;1997;September
WJ000086;1999;Januar
WL130061;1996;Dezember
WM560039;1995;Februar
WQ130024;1993;November
WU510064;1997;M�rz
WU790056;1996;Juli
XA990018;1993;Mai
XF180033;1994;August
XU430074;1998;Januar
XY790058;1996;September
YD460080;1998;Juli
YV020016;1993;M�rz
YV930060;1996;November
YY330069;1997;August
ZD090083;1998;Oktober
ZD710075;1998;Februar
ZJ510048;1995;November
ZO740014;1993;Januar
ZR000047;1995;Oktober
ZR170006;1992;Mai
ZU580007;1992;Juni
ZX480062;1997;Januar
